Ref,Val,Package,PosX,PosY,Rot,Side
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-23.350000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-93.350000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.450000,-83.350000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-73.350000,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-63.350000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-53.350000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-43.350000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-33.350000,0.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-23.350000,0.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-93.350000,0.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-83.350000,0.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-73.350000,0.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-63.350000,0.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-53.350000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-43.350000,0.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-33.350000,0.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-23.350000,0.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-93.350000,0.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-83.350000,0.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-73.350000,0.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-63.350000,0.000000,top
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.450000,-53.350000,0.000000,top
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.450000,-43.350000,0.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-33.350000,0.000000,top
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-23.350000,0.000000,top
"D33","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.450000,-93.350000,0.000000,top
"D34","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.550000,-83.350000,0.000000,top
"D35","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.450000,-73.350000,0.000000,top
"D36","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.450000,-63.350000,0.000000,top
"D37","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.450000,-53.350000,0.000000,top
"D38","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.550000,-43.350000,0.000000,top
"D39","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.550000,-33.350000,0.000000,top
"D40","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.550000,-23.350000,0.000000,top
"D41","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.550000,-93.350000,0.000000,top
"D42","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.550000,-83.350000,0.000000,top
"D43","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.550000,-73.350000,0.000000,top
"D44","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.550000,-63.350000,0.000000,top
"D45","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.550000,-53.350000,0.000000,top
"D46","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.550000,-43.350000,0.000000,top
"D47","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.550000,-33.350000,0.000000,top
"D48","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.550000,-23.350000,0.000000,top
"D49","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.550000,-93.350000,0.000000,top
"D50","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.550000,-83.350000,0.000000,top
"D51","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.550000,-73.350000,0.000000,top
"D52","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.450000,-63.350000,0.000000,top
"D53","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.550000,-53.350000,0.000000,top
"D54","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.550000,-43.350000,0.000000,top
"D55","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.550000,-33.350000,0.000000,top
"D56","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.550000,-23.350000,0.000000,top
"D57","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.450000,-93.350000,0.000000,top
"D58","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.550000,-83.350000,0.000000,top
"D59","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.550000,-73.350000,0.000000,top
"D60","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.550000,-63.350000,0.000000,top
"D61","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.550000,-53.350000,0.000000,top
"D62","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.550000,-43.350000,0.000000,top
"D63","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.550000,-33.350000,0.000000,top
"D64","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.450000,-23.350000,0.000000,top
"U1","XIAO-RP2040-DIP","XIAO-RP2040-DIP",91.000000,-109.000000,90.000000,top
